ListSizes,TestResult
0,0
1000,1
2000,2
3000,3
4000,5
5000,5
6000,6
7000,7
8000,8
9000,9
10000,10
11000,12
12000,12
13000,14
14000,15
15000,23
16000,24
17000,24
18000,22
19000,22
20000,25
21000,30
22000,26
23000,27
24000,29
25000,27
26000,29
27000,29
28000,27
29000,31
30000,32
31000,32
32000,35
33000,35
34000,36
35000,34
36000,35
37000,39
38000,40
39000,39
40000,42
41000,40
42000,42
43000,42
44000,45
45000,48
46000,49
47000,52
48000,49
49000,48
50000,49
51000,53
52000,53
53000,55
54000,54
55000,54
56000,56
57000,64
58000,59
59000,60
60000,60
61000,62
62000,61
63000,62
64000,67
65000,67
66000,69
67000,68
68000,70
69000,69
70000,71
71000,72
72000,74
73000,72
74000,72
75000,74
76000,74
77000,77
78000,77
79000,80
80000,83
81000,84
82000,84
83000,88
84000,85
85000,85
86000,87
87000,86
88000,89
89000,88
90000,94
91000,92
92000,92
93000,94
94000,91
95000,91
96000,97
97000,97
98000,98
99000,101
100000,99
101000,99
102000,102
103000,103
104000,103
105000,104
106000,101
107000,104
108000,104
109000,104
110000,106
111000,109
112000,115
113000,115
114000,114
115000,118
116000,117
117000,116
118000,115
119000,119
120000,126
121000,120
122000,120
123000,118
124000,122
125000,123
126000,124
127000,118
128000,117
129000,116
130000,119
131000,123
132000,125
133000,122
134000,125
135000,132
136000,126
137000,133
138000,143
139000,136
140000,134
141000,153
142000,148
143000,136
144000,135
145000,136
146000,143
147000,146
148000,150
149000,151
150000,152
151000,169
152000,157
153000,148
154000,152
155000,155
156000,173
157000,169
158000,152
159000,150
160000,149
161000,154
162000,154
163000,148
164000,152
165000,152
166000,158
167000,159
168000,156
169000,163
170000,163
171000,158
172000,169
173000,197
174000,174
175000,164
176000,165
177000,168
178000,163
179000,168
180000,167
181000,166
182000,167
183000,171
184000,166
185000,174
186000,172
187000,171
188000,174
189000,175
190000,179
191000,177
192000,179
193000,190
194000,189
195000,181
196000,181
197000,203
198000,197
199000,186
