K,TestResult
0,0
1000,208
2000,224
3000,236
4000,224
5000,225
6000,238
7000,238
8000,241
9000,240
10000,245
11000,252
12000,255
13000,255
14000,250
15000,254
16000,269
17000,251
18000,274
19000,256
20000,255
21000,254
22000,263
23000,264
24000,264
25000,270
26000,288
27000,273
28000,274
29000,279
30000,281
31000,267
32000,285
33000,286
34000,289
35000,291
36000,289
37000,284
38000,308
39000,298
40000,300
41000,290
42000,283
43000,288
44000,319
45000,293
46000,291
47000,289
48000,302
49000,299
50000,302
51000,294
52000,313
53000,300
54000,300
55000,316
56000,308
57000,316
58000,302
59000,298
60000,301
61000,292
62000,291
63000,294
64000,293
65000,296
66000,300
67000,300
68000,303
69000,295
70000,301
71000,314
72000,345
73000,308
74000,303
75000,297
76000,303
77000,305
78000,300
79000,316
80000,319
81000,311
82000,300
83000,313
84000,322
85000,309
86000,326
87000,308
88000,309
89000,318
90000,324
91000,306
92000,308
93000,307
94000,312
95000,319
96000,308
97000,316
98000,324
99000,318
100000,316
101000,319
102000,328
103000,324
104000,313
105000,318
106000,315
107000,310
108000,321
109000,309
110000,318
111000,313
112000,322
113000,328
114000,334
115000,321
116000,339
117000,328
118000,312
119000,346
120000,318
121000,316
122000,319
123000,330
124000,358
125000,325
126000,323
127000,347
128000,315
129000,321
130000,314
131000,322
132000,314
133000,321
134000,315
135000,318
136000,323
137000,313
138000,315
139000,318
140000,309
141000,312
142000,316
143000,326
144000,315
145000,316
146000,332
147000,316
148000,335
149000,339
150000,341
151000,309
152000,371
153000,344
154000,313
155000,314
156000,311
157000,330
158000,324
159000,314
160000,327
161000,322
162000,322
163000,309
164000,328
165000,316
166000,317
167000,312
168000,325
169000,355
170000,318
171000,321
172000,312
173000,310
174000,333
175000,322
176000,328
177000,311
178000,320
179000,323
180000,327
181000,315
182000,325
183000,331
184000,345
185000,363
186000,318
187000,336
188000,364
189000,320
190000,335
191000,322
192000,327
193000,319
194000,344
195000,316
196000,328
197000,332
198000,323
199000,340
