DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,1
2000,1,1,1
3000,2,1,2
4000,2,2,2
5000,6,4,4
6000,8,6,6
7000,7,6,6
8000,8,5,7
9000,14,10,11
10000,16,9,11
11000,19,10,14
12000,20,11,12
13000,22,12,12
14000,29,12,14
15000,32,14,14
16000,37,14,14
17000,60,25,23
18000,57,26,24
19000,80,26,24
20000,76,29,24
21000,87,29,24
22000,91,34,24
23000,96,37,26
24000,107,41,27
25000,115,43,28
26000,124,40,28
27000,134,50,28
28000,167,56,27
29000,144,57,28
30000,171,57,28
31000,173,61,29
32000,189,61,30
33000,247,111,51
34000,280,93,52
35000,287,104,53
36000,291,98,50
37000,324,118,51
38000,336,108,54
39000,378,116,53
40000,364,142,52
41000,383,127,57
42000,424,146,57
43000,457,146,55
44000,455,146,57
45000,465,161,56
46000,575,173,58
47000,684,180,59
48000,651,174,59
49000,642,168,63
50000,641,176,59
51000,642,199,61
52000,677,175,62
53000,738,200,70
54000,739,213,66
55000,824,243,101
56000,893,272,67
57000,927,215,67
58000,975,227,67
59000,989,251,69
60000,937,237,67
61000,938,265,66
62000,968,248,68
63000,1020,289,69
64000,1006,299,72
65000,1065,305,76
66000,1416,387,134
67000,1360,423,134
68000,1419,389,117
69000,1487,409,119
70000,1535,463,121
71000,1612,453,127
72000,1635,437,118
73000,1713,436,130
74000,1756,442,124
75000,1746,502,131
76000,1786,519,123
77000,2109,514,124
78000,1980,547,135
79000,2046,516,125
